,title,date,url
0,2022년 1학기 학습동아리 선발 안내,22.03.01,https://sw7up.cbnu.ac.kr/community/notice/621d8895c1bfd13db8ccb709
1,2022년 K-SW스퀘어 여름방학(8주) / 가을학기(16주) 프로그램 서류심사 합격자 안내,22.03.02,https://sw7up.cbnu.ac.kr/community/notice/621eb765c1bfd13db8ccec45
2,2022년 창업 액셀러레이션 참가팀 모집(~4/1),22.03.02,https://sw7up.cbnu.ac.kr/community/notice/621ebfb8c1bfd13db8ccf29e
3,2022년 SW중심대학사업단 Git-Github 기초/고급 특강 신청 안내(~3/11),22.03.04,https://sw7up.cbnu.ac.kr/community/notice/6221569eadaed25b0a234d08
4,2022년 1학기 학부생 TA 추가 모집 안내,22.03.04,https://sw7up.cbnu.ac.kr/community/notice/62219d71adaed25b0a236182
5,"2022년 1학기 학부생 튜터링 튜티 추가 모집 (정보통신공학부, 지능로봇공학과)",22.03.06,https://sw7up.cbnu.ac.kr/community/notice/622436c5adaed25b0a23b906
6,2022년 K-SW스퀘어 여름방학(8주) / 가을학기(16주) 프로그램 면접심사 합격자 안내,22.03.06,https://sw7up.cbnu.ac.kr/community/notice/62243991adaed25b0a23b954
7,2022년 오픈소스SW 동아리 모집 안내(~3/18),22.03.07,https://sw7up.cbnu.ac.kr/community/notice/622590e9adaed25b0a23f878
8,"(행사홍보) Oracle Academy Student Day 2022 개최 ('22. 3. 28(월), 15:30~ / 온라인 ZOOM)",22.03.08,https://sw7up.cbnu.ac.kr/community/notice/6226b61aadaed25b0a24564b
9,2022년 전공 교재개발 연구보조원 2차 모집 안내 (~3/10),22.03.08,https://sw7up.cbnu.ac.kr/community/notice/6226eb75adaed25b0a246982
10,2022년 제 1차 SW융합전공 재학생 간담회 개최(3/30),22.03.10,https://sw7up.cbnu.ac.kr/community/notice/622955b4adaed25b0a24b9ff
11,2022년 1학기 학부생튜터 및 튜티 추가 모집 선발자 안내,22.03.11,https://sw7up.cbnu.ac.kr/community/notice/622aa747adaed25b0a250a83
12,2022년 K-SW스퀘어 여름방학(겨울)(8주) 프로그램 참가 신청 접수안내,22.03.11,https://sw7up.cbnu.ac.kr/community/notice/622af508adaed25b0a25298b
13,2022년 하반기 ICT학점연계프로젝트인턴십 미국 실리콘밸리 인턴 참여 안내,22.03.11,https://sw7up.cbnu.ac.kr/community/notice/622af903adaed25b0a252c43
14,2022년 SW중심대학사업단 4기 SW봉사단 모집(~3/18),22.03.14,https://sw7up.cbnu.ac.kr/community/notice/622e8ff6adaed25b0a25b043
15,(홍보)[한국인터넷진흥원] SW개발보안(시큐어코딩) 교육 프로그램 홍보,22.03.17,https://sw7up.cbnu.ac.kr/community/notice/6232997eadaed25b0a26ab4e
16,2022년 융합 교재개발 연구보조원 3차 모집 안내 (~3/25),22.03.22,https://sw7up.cbnu.ac.kr/community/notice/62392023adaed25b0a2793ad
17,2022년 전공 교재개발 연구보조원 3차 모집 안내(~3/25),22.03.22,https://sw7up.cbnu.ac.kr/community/notice/623921afadaed25b0a2793e2
18,2022년 공개SW AI Week 특강 신청 안내(모집마감),22.03.28,https://sw7up.cbnu.ac.kr/community/notice/6241218eadaed25b0a287354
19,2022년 제 17회 상반기 TOPCIT 정기평가 단체 접수 안내,22.03.28,https://sw7up.cbnu.ac.kr/community/notice/62414b97adaed25b0a287f3c
20,2022년 제 1차 SW융합전공 재학생 간담회 자료 공유,22.03.31,https://sw7up.cbnu.ac.kr/community/notice/6245293badaed25b0a2912b4
21,2022년 산학협력공동프로젝트 연구보조원 추가 모집 공고,22.04.01,https://sw7up.cbnu.ac.kr/community/notice/624646b5adaed25b0a2935c8
